"foldername";"BETRAG2018";"BUCHUNG2018";"CHECK2018";"BETRAG2019";"BUCHUNG2019";"CHECK2019";"BETRAG2020";"BUCHUNG2020";"CHECK2020";"PROBLEMS";"PATH"
"ste.gt.immo.lili.objekt.wasser.jahr.betrag.akt_vgw";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\8.immo.lili\ste.gt.immo.lili.objekt.wasser.jahr.betrag.akt_vgw"
"ste.gt.immo.wenn.objekt.wasser.jahr.betrag.akt_vgw";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\9.immo.wenn\ste.gt.immo.wenn.objekt.wasser.jahr.betrag.akt_vgw"
"ste.jt.immo.o13h.objekt.handwerker.jahr.betrag";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\4.immo.o13h\ste.jt.immo.o13h.objekt.handwerker.jahr.betrag"
"ste.jt.immo.o13a.objekt.handwerker.jahr.betrag";"284,29";"0,00";"1";"745,40";"0,00";"1";"640,70";"0,00";"1";"3";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\3.immo.o13a\ste.jt.immo.o13a.objekt.handwerker.jahr.betrag"
"ste.jt.immo.o13a.objekt.schornstein.jahr.betrag";"62,83";"0,00";"1";"98,53";"0,00";"1";"109,75";"0,00";"1";"3";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\3.immo.o13a\ste.jt.immo.o13a.objekt.schornstein.jahr.betrag"
"ste.jt.immo.o13a.objekt.wasser.jahr.betrag.vgw_210046940";"0,29";"0,00";"1";"19,28";"0,00";"1";"52,41";"0,00";"1";"3";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\3.immo.o13a\ste.jt.immo.o13a.objekt.wasser.jahr.betrag.vgw_210046940"
"ste.jt.immo.o13a.objekt.strom.jahr.betrag.x204_9400_953";"0,00";"0,00";"0";"0,00";"0,00";"0";"10,77";"0,00";"1";"1";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\3.immo.o13a\ste.jt.immo.o13a.objekt.strom.jahr.betrag.x204_9400_953"
"ste.jt.immo.goeb.whg_09.gas.jahr.betrag.akt_immergruen_6304";"217,37";"0,00";"1";"679,32";"0,00";"1";"983,82";"0,00";"1";"3";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\1.immo.goeb\ste.jt.immo.goeb.whg_09.gas.jahr.betrag.akt_immergruen_6304"
"ste.jt.immo.goeb.whg_12.handwerker.jahr.betrag";"502,06";"0,00";"1";"636,93";"0,00";"1";"1017,95";"0,00";"1";"3";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\1.immo.goeb\ste.jt.immo.goeb.whg_12.handwerker.jahr.betrag"
"ste.jt.immo.goeb.whg_09.handwerker.jahr.betrag";"72,00";"0,00";"1";"3040,90";"0,00";"1";"72,00";"0,00";"1";"3";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\1.immo.goeb\ste.jt.immo.goeb.whg_09.handwerker.jahr.betrag"
"ste.jt.immo.goeb.whg_12.strom.jahr.betrag.akt_31495715";"0,00";"0,00";"0";"685,23";"0,00";"1";"619,70";"0,00";"1";"2";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\1.immo.goeb\ste.jt.immo.goeb.whg_12.strom.jahr.betrag.akt_31495715"
"ste.jt.immo.goeb.whg_12.gas.jahr.betrag.akt_immergruen_6306";"2153,53";"0,00";"1";"554,46";"0,00";"1";"657,86";"0,00";"1";"3";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\1.immo.goeb\ste.jt.immo.goeb.whg_12.gas.jahr.betrag.akt_immergruen_6306"
"ste.jt.immo.goeb.whg_09.strom.jahr.betrag.4990842";"935,46";"0,00";"1";"825,17";"0,00";"1";"1008,82";"0,00";"1";"3";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\1.immo.goeb\ste.jt.immo.goeb.whg_09.strom.jahr.betrag.4990842"
"ste.jt.immo.goeb.whg_12.strom.jahr.stand.zaehler_535631-d2";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\1.immo.goeb\ste.jt.immo.goeb.whg_12.strom.jahr.stand.zaehler_535631-d2"
"ste.jt.immo.goeb.whg_09.strom.jahr.stand.zaehler_534678-d2";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\1.immo.goeb\ste.jt.immo.goeb.whg_09.strom.jahr.stand.zaehler_534678-d2"
"ste.jt.immo.goeb.whg_09.gas.jahr.stand.zaehler_12_028693";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\1.immo.goeb\ste.jt.immo.goeb.whg_09.gas.jahr.stand.zaehler_12_028693"
"ste.jt.immo.goeb.whg_gr.gas.jahr.stand.zaehler_12126688_graulich";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\1.immo.goeb\ste.jt.immo.goeb.whg_gr.gas.jahr.stand.zaehler_12126688_graulich"
"ste.jt.immo.goeb.whg_12.gas.jahr.stand.zaehler_01178750";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\1.immo.goeb\ste.jt.immo.goeb.whg_12.gas.jahr.stand.zaehler_01178750"
"ste.jt.immo.goeb.whg_gr.strom.jahr.stand.zaehler_534005_graulich";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\1.immo.goeb\ste.jt.immo.goeb.whg_gr.strom.jahr.stand.zaehler_534005_graulich"
"ste.jt.vers.rente.bund.0038_sozial_tkk.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\VERSICHERUNG\ste.jt.vers.alle\ste.jt.vers.rente.bund.0038_sozial_tkk.jahr.dokumente"
"ste.jt.vers.rente.bund.0038_sozial_bayern.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\VERSICHERUNG\ste.jt.vers.alle\ste.jt.vers.rente.bund.0038_sozial_bayern.jahr.dokumente"
"ste.jt.immo.goeb.objekt.haushaltsnahe_dl.jahr.betrag";"1089,41";"0,00";"1";"0,00";"0,00";"0";"0,00";"0,00";"0";"1";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\1.immo.goeb\ste.jt.immo.goeb.objekt.haushaltsnahe_dl.jahr.betrag"
"ste.jt.immo.goeb.objekt.zeichnungen.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\1.immo.goeb\ste.jt.immo.goeb.objekt.zeichnungen.jahr.dokumente"
"ste.jt.immo.goeb.whg_09.allgemein.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\1.immo.goeb\ste.jt.immo.goeb.whg_09.allgemein.jahr.dokumente"
"ste.jt.immo.goeb.whg_12.allgemein.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\1.immo.goeb\ste.jt.immo.goeb.whg_12.allgemein.jahr.dokumente"
"ste.fa.kinder.kindergeld.beide._.jahr.betrag";"0,00";"4556,00";"1";"0,00";"4776,00";"1";"0,00";"5496,00";"1";"3";"C:\Users\thome.ARCHLAND\OneDrive\data\FAMILIE\ste.fa.kinder.kindergeld.beide._.jahr.betrag"
"0.immo.inbox._._._.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\0.immo.inbox._._._.jahr.dokumente"
"ste.jt.bank.kskwd.mast.2492_mastercard.jahr.betrag";"0,00";"0,00";"0";"0,00";"0,00";"0";"11787,95";"0,00";"1";"1";"C:\Users\thome.ARCHLAND\OneDrive\data\BANK\ste.jt.bank.kskwd.mast.2492_mastercard_jost\ste.jt.bank.kskwd.mast.2492_mastercard.jahr.betrag"
